office,email,emails_all,phone,phones_all,address,region,department,city,url,source,date_scraping
"Office notarial SCP Frédéric MALLON et Laura LANCRY, Notaires, Associés à SAINT-ÉTIENNE (42000) | 10 place de l'Hôtel de Ville",etude.42004@notaires.fr,etude.42004@notaires.fr,0477254601,0477254601,Bureau principal 10 place de l'Hôtel de Ville 42000 SAINT-ÉTIENNE France,Auvergne-Rhône-Alpes,Loire,Saint-Étienne,https://www.notaires.fr/fr/office/scp-frederic-mallon-et-laura-lancry-notaires-associes,notaires.fr,2026-06-24 15:10:26
Office notarial SCP Guillaume DENIEUIL Sébastien DENIEUIL David DENIEUIL et Benjamin DENIEUIL NOTAIRES ASSOCIES à SAINT-ÉTIENNE (42000) | 3 place du Peuple,scp-denieuil@notaires.fr,scp-denieuil@notaires.fr,0477492860,0477492860,Bureau principal 3 place du Peuple 42000 SAINT-ÉTIENNE France,Auvergne-Rhône-Alpes,Loire,Saint-Étienne,https://www.notaires.fr/fr/office/scp-guillaume-denieuil-sebastien-denieuil-david-denieuil-et-benjamin-denieuil-notaires-associes,notaires.fr,2026-06-24 15:10:27
"Office notarial SCP Olivier LAFAY, Sébastien BOZZACO-COLONA et Philippe POUZOLS-NAPOLEON, notaires associés à FEURS (42110) | 13 bis avenue Jean Jaurès",,,0477260056,0477260056,Bureau principal 13 bis avenue Jean Jaurès 42110 FEURS France,Auvergne-Rhône-Alpes,Loire,Feurs,https://www.notaires.fr/fr/office/scp-olivier-lafay-sebastien-bozzaco-colona-et-philippe-pouzols-napoleon-notaires-associes,notaires.fr,2026-06-24 15:10:28
Office notarial SELARL GONON & Associés à SAINT-ÉTIENNE (42000) | 5 rue Mi Carême,etude@gononassocies.notaires.fr,etude@gononassocies.notaires.fr,0477324653,0477324653,Bureau principal 5 rue Mi Carême 42000 SAINT-ÉTIENNE France,Auvergne-Rhône-Alpes,Loire,Saint-Étienne,https://www.notaires.fr/fr/office/selarl-gonon-associes-0,notaires.fr,2026-06-24 15:10:29
"Office notarial SELARL GUIBERT & Associés, Notaires à SAINT-ÉTIENNE (42100) | 109 rue de la Montat",guibert.associes@notaires.fr,guibert.associes@notaires.fr,0482771140,0482771140,Bureau principal 109 rue de la Montat 42100 SAINT-ÉTIENNE France,Auvergne-Rhône-Alpes,Loire,Saint-Étienne,https://www.notaires.fr/fr/office/selarl-guibert-associes-notaires,notaires.fr,2026-06-24 15:10:30
"Office notarial SELARL GUIBERT & Associés, Notaires à LE CHAMBON-FEUGEROLLES (42500) | 57 rue Edouard Michot",guibert.associes@notaires.fr,guibert.associes@notaires.fr,0477402090,0477402090,Bureau principal 57 rue Edouard Michot 42500 LE CHAMBON-FEUGEROLLES France,Auvergne-Rhône-Alpes,Loire,Le Chambon-Feugerolles,https://www.notaires.fr/fr/office/selarl-guibert-associes-notaires-0,notaires.fr,2026-06-24 15:10:31
Office notarial SELARL N.R.GI. à RIVE-DE-GIER (42800) | 16 boulevard Fleurdélix,nrgi@notaires.fr,nrgi@notaires.fr,0477750104,0477750104,Bureau principal 16 boulevard Fleurdélix 42800 RIVE-DE-GIER France,Auvergne-Rhône-Alpes,Loire,Rive-De-Gier,https://www.notaires.fr/fr/office/selarl-nrgi,notaires.fr,2026-06-24 15:10:32
"Office notarial SELARL Office GEYSSANT&VIRICEL, Notaires associés à SAINT-PRIEST-EN-JAREZ (42270) | 32 avenue Albert Raimond",office.gv@notaires.fr,office.gv@notaires.fr,0486110600,0486110600,Bureau principal 32 avenue Albert Raimond 42270 SAINT-PRIEST-EN-JAREZ France,Auvergne-Rhône-Alpes,Loire,Saint-Priest-En-Jarez,https://www.notaires.fr/fr/office/selarl-office-geyssantviricel-notaires-associes,notaires.fr,2026-06-24 15:10:33
"Office notarial SELARL Office GEYSSANT&VIRICEL, Notaires associés à BALBIGNY (42510) | 120 rue de Saint-Etienne",office42069.balbigny@notaires.fr,office42069.balbigny@notaires.fr,0477281340,0477281340,Bureau principal 120 rue de Saint-Etienne 42510 BALBIGNY France,Auvergne-Rhône-Alpes,Loire,Balbigny,https://www.notaires.fr/fr/office/selarl-office-geyssantviricel-notaires-associes-0,notaires.fr,2026-06-24 15:10:34
Office notarial SELARL OFFICE NOTARIAL DES COMTES DU FOREZ à MONTBRISON (42600) | 4 place du Docteur Jean Vial,contact@42090.notaires.fr,contact@42090.notaires.fr,0477581177,0477581177,Bureau principal 4 place du Docteur Jean Vial 42600 MONTBRISON France,Auvergne-Rhône-Alpes,Loire,Montbrison,https://www.notaires.fr/fr/office/selarl-office-notarial-des-comtes-du-forez,notaires.fr,2026-06-24 15:10:35
