email,vertical,company,city,phone,score_source_rank,email_sent,sent_at,send_status,send_attempts,last_error,last_subject,created_at,updated_at
agencechateaucreux@orpi.com,immo,Orpi Agence Château Creux,Saint-Étienne,,10,true,2026-08-25T07:40:34.947371+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:34.947390+00:00
cityzenimmobilier@gmail.com,immo,Cityzen Immobilier,Saint-Étienne,,10,true,2026-08-25T07:40:36.938125+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:36.938143+00:00
contact@42emeavenue.com,immo,42ème Avenue Immobilier,Saint-Étienne,,10,true,2026-08-25T07:40:38.915072+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:38.915094+00:00
contact@delomier.fr,immo,Delomier Immobilier,Saint-Étienne,,10,true,2026-08-25T07:40:41.091062+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:41.091083+00:00
contact@henri-pardon-immobilier.fr,immo,Henri Pardon Immobilier,Saint-Étienne,,10,true,2026-08-25T07:40:43.300778+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:43.300800+00:00
contact@kwfrance.com,immo,Keller Williams France,Saint-Étienne,,10,true,2026-08-25T07:40:45.266804+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:45.266826+00:00
contact@manu-immo.fr,immo,Manu Immo,Saint-Étienne,,10,true,2026-08-25T07:40:47.299318+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:47.299340+00:00
ft-stetienne-mimard@foncia.fr,immo,Foncia Saint-Étienne Mimard,Saint-Étienne,,10,true,2026-08-25T07:40:49.267168+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:49.267186+00:00
gestion@manu-immo.fr,immo,Manu Immo (gestion),Saint-Étienne,,10,true,2026-08-25T07:40:51.226285+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:51.226310+00:00
mathias.vachon@flyliberty.fr,immo,Fly Liberty (Mathias Vachon),Saint-Étienne,,10,true,2026-08-25T07:40:53.343488+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:53.343508+00:00
